X,t_h,t_d,Year,Month,Week,Day ,Intraday
615.85,8665.57,361.07,Year,,,,
205.80,6739.89,280.83,,,,,
187.07,6065.90,252.75,,,,,
135.03,3369.94,140.41,,,,,
132.04,2426.36,101.10,,,,,
122.41,2637.35,109.89,,,,,
116.01,11.99,0.50,,,,,Intraday
110.21,994.41,41.43,,,,,
104.31,12.01,0.50,,,,,Intraday
103.22,1956.74,81.53,,,,,
88.41,1102.89,45.95,,,,,
85.13,1347.98,56.17,,,,,
84.53,4666.08,194.42,,,,,
84.52,24.01,1.00,,,,Day,
81.89,1189.39,49.56,,,,,
80.73,1639.43,68.31,,,,,
80.67,1596.29,66.51,,,,,
79.22,625.35,26.06,,Month,,,
78.25,5054.92,210.62,,,,,
78.06,3192.58,133.02,,,,,
77.71,2091.69,87.15,,,,,
74.81,3032.95,126.37,,,,,
69.67,556.50,23.19,,,,,
68.30,2757.23,114.88,,,,,
67.84,673.99,28.08,,Month,,,
66.67,4332.79,180.53,,,,,
65.72,7582.38,315.93,,,,,
65.68,8.00,0.33,,,,,Intraday
64.84,854.35,35.60,,Month,,,
63.63,536.81,22.37,,,,,
63.30,168.03,7.00,,,Week,,
62.20,418.34,17.43,,,,,
60.98,2166.39,90.27,,,,,
60.39,11.97,0.50,,,,,Intraday
59.17,705.34,29.39,,Month,,,
58.84,1010.98,42.12,,,,,
57.87,808.79,33.70,,Month,,,
57.82,919.08,38.29,,,,,
57.43,4043.93,168.50,,,Week,,
57.37,739.74,30.82,,Month,,,
56.35,485.27,20.22,,,,,
56.31,3791.19,157.97,,,,,
55.37,2888.52,120.36,,,,,
55.16,1838.15,76.59,,,,,
54.60,1064.19,44.34,,,,,
54.21,713.64,29.73,,,,,
52.85,24.00,1.00,,,,Day,
51.56,541.60,22.57,,,,,
49.31,3568.18,148.67,,,,,
48.76,231.52,9.65,,,,,
48.54,463.05,19.29,,,,,
48.43,489.19,20.38,,,,,
48.33,381.50,15.90,,,,,
47.19,1410.67,58.78,,,,,
47.04,170.87,7.12,,,,,
46.31,298.81,12.45,,,,,
46.29,168.50,7.02,,,,,
46.08,23.95,1.00,,,,,
46.01,1123.31,46.80,,,,,
45.41,164.83,6.87,,,,,
44.81,2527.46,105.31,,,,,
44.63,473.90,19.75,,,,,
43.78,6.00,0.25,,,,,
43.75,798.14,33.26,,,,,
43.74,1263.73,52.66,,,,,
43.63,336.99,14.04,,,,,
43.17,561.66,23.40,,,,,
43.16,354.73,14.78,,,,,
42.77,415.47,17.31,,,,,
42.77,374.44,15.60,,,,,
42.62,2333.04,97.21,,,,,
42.42,23.99,1.00,,,,,
42.35,730.83,30.45,,,,,
42.29,452.68,18.86,,,,,
41.86,551.45,22.98,,,,,
41.42,697.23,29.05,,,,,
41.22,23.97,1.00,,,,,
40.90,879.12,36.63,,,,,
39.84,324.38,13.52,,,,,
39.55,777.68,32.40,,,,,
