X,t_h,t_d,,,,,
1066.271,8665.571,361.065,Year,,,,
698.174,168.030,7.001,,,Week,,
691.572,24.014,1.001,,,,Day,
338.578,23.947,0.998,,,,Day,
310.830,84.015,3.501,,,,,
218.713,24.081,1.003,,,,Day,
160.271,2888.524,120.355,,,,,
141.827,1263.729,52.655,,,,,
134.859,12.007,0.500,,,,,Intraday
125.392,1102.891,45.954,,,,,
124.660,2166.393,90.266,,,,,
122.050,730.831,30.451,,Month,,,
120.152,84.132,3.505,,,,,
118.067,23.881,0.995,,,,Day,
115.122,798.145,33.256,,Month,,,
113.071,168.497,7.021,,,Week,,
110.119,2246.630,93.610,,,,,
106.539,879.116,36.630,,,,,
103.187,5.999,0.250,,,,,Intraday
101.284,1237.939,51.581,,,,,
97.653,3369.944,140.414,,,,,
97.419,1733.114,72.213,,,,,
93.904,1479.488,61.645,,,,,
92.316,1444.262,60.178,,Month,,,
91.648,5514.455,229.769,,,,,
91.033,33.625,1.401,,,,,
90.227,11.990,0.500,,,,,Intraday
85.192,1784.088,74.337,,,,,
83.683,463.046,19.294,,,,,
83.441,24.148,1.006,,,,Day,
82.809,673.989,28.083,,Month,,,
82.221,7.997,0.333,,,,,Intraday
79.863,167.566,6.982,,,,,
77.931,978.371,40.765,,,,,
76.860,1083.196,45.133,,,,,
73.491,3032.950,126.373,,,,,
73.472,28.018,1.167,,,,,
69.905,1213.180,50.549,,,,,
69.666,24.215,1.009,,,,,
69.659,23.816,0.992,,,,,
68.363,439.558,18.315,,,,,
66.582,56.010,2.334,,,,,
66.431,4332.786,180.533,,,,,
66.093,1956.742,81.531,,,,,
65.978,6065.900,252.746,,,,,
63.262,514.059,21.419,,,,,
61.276,866.557,36.107,,,,,
59.817,83.899,3.496,,,,,
59.244,3568.176,148.674,,,,,
58.555,1596.289,66.512,,,,,
58.406,536.805,22.367,,,,,
54.412,1123.315,46.805,,,,,
53.069,583.260,24.302,,,,,
52.873,962.841,40.118,,,,,
52.636,11.974,0.499,,,,,
52.483,2091.690,87.154,,,,,
51.969,459.538,19.147,,,,,
51.959,2757.227,114.884,,,,,
51.871,56.062,2.336,,,,,
51.251,178.935,7.456,,,,,
51.198,171.839,7.160,,,,,
51.147,1838.152,76.590,,,,,
51.117,84.249,3.510,,,,,
51.044,2527.458,105.311,,,,,
50.560,24.283,1.012,,,,,
50.019,748.877,31.203,,,,,
