Data version;From;To;Agregation function;Agregation;
real data;01.01.2015 00:00:00;31.12.2021 23:59:59;agregation average;hour;
Date;Load including pumping [MW];Load [MW];
01.01.2015 00:00;6815.35009765625;6815.35009765625;
01.01.2015 01:00;6721;6721;
01.01.2015 02:00;6606.91650390625;6601.7998046875;
01.01.2015 03:00;6634.83349609375;6506.39990234375;
01.01.2015 04:00;6957.63330078125;6441.06689453125;
01.01.2015 05:00;6853.2001953125;6337.4501953125;
01.01.2015 06:00;6773.68310546875;6259.5166015625;
01.01.2015 07:00;6736.7001953125;6195.18310546875;
01.01.2015 08:00;6741.9833984375;6233.86669921875;
01.01.2015 09:00;6710.716796875;6705.033203125;
01.01.2015 10:00;7099.66650390625;7094.66650390625;
01.01.2015 11:00;7236.0166015625;7231.0166015625;
01.01.2015 12:00;7312.2001953125;7307.2001953125;
01.01.2015 13:00;7361.966796875;7356.966796875;
01.01.2015 14:00;7474.88330078125;7469.88330078125;
01.01.2015 15:00;7547.2333984375;7542.2333984375;
01.01.2015 16:00;7721.68310546875;7716.533203125;
01.01.2015 17:00;7848.83349609375;7848.83349609375;
01.01.2015 18:00;7809.25;7809.25;
01.01.2015 19:00;7648.66650390625;7648.66650390625;
01.01.2015 20:00;7513.91650390625;7513.91650390625;
01.01.2015 21:00;7160.64990234375;7160.64990234375;
01.01.2015 22:00;7010.63330078125;6935.58349609375;
01.01.2015 23:00;7155.14990234375;6637.89990234375;
02.01.2015 00:00;6498.2001953125;6492.43310546875;
02.01.2015 01:00;6794.4501953125;6531.283203125;
02.01.2015 02:00;7428.41650390625;6463.38330078125;
02.01.2015 03:00;7392.9501953125;6303.83349609375;
02.01.2015 04:00;7109.89990234375;6328.11669921875;
02.01.2015 05:00;7300.91650390625;6555.35009765625;
02.01.2015 06:00;7444.08349609375;6984.9833984375;
02.01.2015 07:00;7312.75;7312.75;
02.01.2015 08:00;7647.25;7647.25;
02.01.2015 09:00;8061.25;8061.25;
02.01.2015 10:00;8394.2666015625;8394.2666015625;
02.01.2015 11:00;8575.3330078125;8575.3330078125;
02.01.2015 12:00;8618.1162109375;8618.1162109375;
02.01.2015 13:00;8697.4501953125;8697.4501953125;
02.01.2015 14:00;8695.400390625;8695.3837890625;
02.01.2015 15:00;8807.6337890625;8807.6337890625;
02.01.2015 16:00;8772.466796875;8772.466796875;
02.01.2015 17:00;8785.7998046875;8785.7998046875;
02.01.2015 18:00;8640.8330078125;8640.8330078125;
02.01.2015 19:00;8480.7666015625;8480.7666015625;
02.01.2015 20:00;8253.5166015625;8253.5166015625;
02.01.2015 21:00;7875.2998046875;7875.2998046875;
02.01.2015 22:00;7509.033203125;7509.033203125;
02.01.2015 23:00;7278.91650390625;7168.85009765625;
03.01.2015 00:00;7089.25;6673.5;
03.01.2015 01:00;7542.533203125;6564.16650390625;
03.01.2015 02:00;7685.91650390625;6593.61669921875;
03.01.2015 03:00;7611.5;6529.75;
03.01.2015 04:00;7362.466796875;6554.18310546875;
03.01.2015 05:00;6988.38330078125;6533.75;
03.01.2015 06:00;7021.08349609375;6764.14990234375;
03.01.2015 07:00;6950.16650390625;6950.16650390625;
03.01.2015 08:00;7167.36669921875;7167.36669921875;
03.01.2015 09:00;7647.35009765625;7647.35009765625;
03.01.2015 10:00;8014.0498046875;8014.0498046875;
03.01.2015 11:00;8118.93310546875;8118.93310546875;
03.01.2015 12:00;8178.18310546875;8178.18310546875;
03.01.2015 13:00;8243;8243;
03.01.2015 14:00;8228.7998046875;8228.7998046875;
03.01.2015 15:00;8272.8837890625;8272.8837890625;
03.01.2015 16:00;8511.533203125;8511.533203125;
03.01.2015 17:00;8474.900390625;8474.900390625;
03.01.2015 18:00;8404.283203125;8404.283203125;
03.01.2015 19:00;8205.2666015625;8205.2666015625;
03.01.2015 20:00;7972.2333984375;7972.2333984375;
03.01.2015 21:00;7537.43310546875;7537.43310546875;
03.01.2015 22:00;7331.08349609375;7331.08349609375;
03.01.2015 23:00;6989.2998046875;6989.2998046875;
04.01.2015 00:00;6699.14990234375;6699.08349609375;
04.01.2015 01:00;6873.966796875;6561.68310546875;
04.01.2015 02:00;7266.81689453125;6642.7666015625;
04.01.2015 03:00;7391.10009765625;6614.35009765625;
04.01.2015 04:00;7673.283203125;6582.56689453125;
04.01.2015 05:00;7492.7998046875;6516.2998046875;
04.01.2015 06:00;7792.033203125;6716.39990234375;
04.01.2015 07:00;7747.38330078125;6925.716796875;
04.01.2015 08:00;7375.4501953125;7141.81689453125;
04.01.2015 09:00;7693.75;7693.38330078125;
04.01.2015 10:00;8114.64990234375;8114.64990234375;
04.01.2015 11:00;8295.150390625;8295.150390625;
04.01.2015 12:00;8268.3330078125;8268.3330078125;
04.01.2015 13:00;8250.5498046875;8250.5498046875;
04.01.2015 14:00;8242.0830078125;8242.0830078125;
04.01.2015 15:00;8322.9501953125;8322.9501953125;
04.01.2015 16:00;8511.599609375;8511.599609375;
04.01.2015 17:00;8771.650390625;8771.650390625;
04.01.2015 18:00;8782.2333984375;8782.2333984375;
04.01.2015 19:00;8642.900390625;8642.900390625;
04.01.2015 20:00;8461.216796875;8461.216796875;
04.01.2015 21:00;8008.06689453125;8008.06689453125;
04.01.2015 22:00;7783.41650390625;7783.41650390625;
04.01.2015 23:00;7476.533203125;7476.06689453125;
05.01.2015 00:00;8123.86669921875;7355.81689453125;
05.01.2015 01:00;8436.7001953125;7448.533203125;
05.01.2015 02:00;8499.099609375;7408.25;
05.01.2015 03:00;8241.6669921875;7270.85009765625;
05.01.2015 04:00;8156.39990234375;7410.58349609375;
05.01.2015 05:00;8517.1162109375;7919.25;
05.01.2015 06:00;9085.150390625;9083.033203125;
05.01.2015 07:00;9738.7001953125;9738.7001953125;
05.01.2015 08:00;9902.783203125;9901.5166015625;
05.01.2015 09:00;10087.216796875;10087.216796875;
05.01.2015 10:00;10166.6337890625;10165.7666015625;
05.01.2015 11:00;10195.033203125;10195.033203125;
05.01.2015 12:00;10290.9501953125;10290.9501953125;
05.01.2015 13:00;10357.4169921875;10357.4169921875;
05.01.2015 14:00;10200.716796875;10200.716796875;
05.01.2015 15:00;10280.3330078125;10280.3330078125;
05.01.2015 16:00;10394.0166015625;10394.0166015625;
05.01.2015 17:00;10432.56640625;10432.56640625;
05.01.2015 18:00;10231.5166015625;10231.5166015625;
05.01.2015 19:00;10114.466796875;10114.466796875;
05.01.2015 20:00;9703.4501953125;9703.4501953125;
05.01.2015 21:00;9193.8662109375;9193.8662109375;
05.01.2015 22:00;8679.5;8679.5;
05.01.2015 23:00;8218.466796875;8218.216796875;
06.01.2015 00:00;8567.18359375;7985.41650390625;
06.01.2015 01:00;8953.4169921875;8015.783203125;
06.01.2015 02:00;9010.0166015625;7920.033203125;
06.01.2015 03:00;8870.75;7788.216796875;
06.01.2015 04:00;8646.25;7889.86669921875;
06.01.2015 05:00;8841.6337890625;8317.8662109375;
06.01.2015 06:00;9415.5830078125;9414.5;
06.01.2015 07:00;9951.3330078125;9951.3330078125;
06.01.2015 08:00;10017.2666015625;10017.2666015625;
06.01.2015 09:00;10114.5830078125;10114.5830078125;
06.01.2015 10:00;10100.6669921875;10100.6669921875;
06.01.2015 11:00;10060.400390625;10060.400390625;
06.01.2015 12:00;10131.6337890625;10131.6337890625;
06.01.2015 13:00;10088.75;10088.75;
06.01.2015 14:00;9958.3330078125;9958.3330078125;
06.01.2015 15:00;10081.25;10081.25;
06.01.2015 16:00;10263.25;10263.25;
06.01.2015 17:00;10556.099609375;10556.099609375;
06.01.2015 18:00;10401.75;10401.75;
06.01.2015 19:00;10376.5166015625;10376.5166015625;
06.01.2015 20:00;9964.283203125;9964.283203125;
06.01.2015 21:00;9392.6669921875;9392.6669921875;
06.01.2015 22:00;8876.93359375;8876.93359375;
06.01.2015 23:00;8436.9169921875;8436.783203125;
07.01.2015 00:00;8608.0498046875;8213.7001953125;
07.01.2015 01:00;9037.6162109375;8276.216796875;
07.01.2015 02:00;9058.8837890625;8190.4501953125;
07.01.2015 03:00;8962.6162109375;8072.4833984375;
07.01.2015 04:00;9147.06640625;8122.86669921875;
07.01.2015 05:00;9406.06640625;8609.4169921875;
07.01.2015 06:00;9712.849609375;9712.849609375;
07.01.2015 07:00;10242.849609375;10242.849609375;
07.01.2015 08:00;10298.81640625;10298.81640625;
07.01.2015 09:00;10470.8837890625;10470.8837890625;
07.01.2015 10:00;10513.3837890625;10513.3837890625;
07.01.2015 11:00;10519.6669921875;10519.6669921875;
07.01.2015 12:00;10596.1337890625;10596.1337890625;
07.01.2015 13:00;10631.599609375;10631.599609375;
07.01.2015 14:00;10528.8330078125;10528.8330078125;
07.01.2015 15:00;10639.6669921875;10639.6669921875;
07.01.2015 16:00;10638.9169921875;10638.9169921875;
07.01.2015 17:00;10751.9169921875;10751.9169921875;
07.01.2015 18:00;10567.650390625;10567.650390625;
07.01.2015 19:00;10467.033203125;10467.033203125;
07.01.2015 20:00;10115.4501953125;10115.4501953125;
07.01.2015 21:00;9506.0498046875;9506.0498046875;
07.01.2015 22:00;8958.966796875;8958.8837890625;
07.01.2015 23:00;8913.216796875;8514.1162109375;
08.01.2015 00:00;8929.9833984375;8257.8837890625;
08.01.2015 01:00;9399;8299.43359375;
08.01.2015 02:00;9326.8837890625;8232;
08.01.2015 03:00;9212.7333984375;8126.033203125;
08.01.2015 04:00;9265.2666015625;8190;
08.01.2015 05:00;9279.7333984375;8644.8662109375;
08.01.2015 06:00;9737.5166015625;9736.7666015625;
08.01.2015 07:00;10246.283203125;10246.283203125;
08.01.2015 08:00;10361.0498046875;10361.0498046875;
08.01.2015 09:00;10460.150390625;10460.150390625;
08.01.2015 10:00;10454.0498046875;10454.0498046875;
08.01.2015 11:00;10397.533203125;10397.533203125;
08.01.2015 12:00;10527.1162109375;10527.1162109375;
08.01.2015 13:00;10496.8837890625;10496.8837890625;
08.01.2015 14:00;10487.25;10487.25;
08.01.2015 15:00;10576.6337890625;10576.6337890625;
08.01.2015 16:00;10540.849609375;10540.849609375;
08.01.2015 17:00;10628.4169921875;10628.4169921875;
08.01.2015 18:00;10397.75;10397.75;
08.01.2015 19:00;10287.349609375;10287.349609375;
08.01.2015 20:00;9904.2001953125;9904.2001953125;
08.01.2015 21:00;9303.9833984375;9303.9833984375;
08.01.2015 22:00;8771.9501953125;8771.9501953125;
08.01.2015 23:00;8535.400390625;8322.7001953125;
09.01.2015 00:00;8602.216796875;8040.25;
09.01.2015 01:00;9184.599609375;8084.466796875;
09.01.2015 02:00;9039.7333984375;7944.08349609375;
09.01.2015 03:00;8909.2333984375;7821.88330078125;
09.01.2015 04:00;8971.1162109375;7895.83349609375;
09.01.2015 05:00;9102.4169921875;8332.2001953125;
09.01.2015 06:00;9462.3837890625;9462.3837890625;
09.01.2015 07:00;9949.8330078125;9949.8330078125;
09.01.2015 08:00;9983.783203125;9983.783203125;
09.01.2015 09:00;10146.2666015625;10146.2666015625;
09.01.2015 10:00;10203.31640625;10203.31640625;
09.01.2015 11:00;10190.6162109375;10190.6162109375;
09.01.2015 12:00;10205.849609375;10205.849609375;
09.01.2015 13:00;10181.5166015625;10181.5166015625;
09.01.2015 14:00;10091.1162109375;10091.1162109375;
09.01.2015 15:00;10181.75;10181.75;
09.01.2015 16:00;10243.716796875;10243.716796875;
09.01.2015 17:00;10182.5;10182.5;
09.01.2015 18:00;9899.0830078125;9899.0830078125;
09.01.2015 19:00;9738.650390625;9738.650390625;
09.01.2015 20:00;9290.1337890625;9290.1337890625;
09.01.2015 21:00;8674.1669921875;8674.1669921875;
09.01.2015 22:00;8126.966796875;8126.966796875;
09.01.2015 23:00;7789;7699.93310546875;
10.01.2015 00:00;7195.14990234375;7156.06689453125;
10.01.2015 01:00;7177.43310546875;7021.2666015625;
10.01.2015 02:00;7404.63330078125;7030.4501953125;
10.01.2015 03:00;7667.033203125;6981.89990234375;
10.01.2015 04:00;7707.75;6964.83349609375;
10.01.2015 05:00;8019.283203125;6930.66650390625;
10.01.2015 06:00;8277.3330078125;7244.14990234375;
10.01.2015 07:00;7626.25;7523.9501953125;
10.01.2015 08:00;7779.39990234375;7779.39990234375;
10.01.2015 09:00;8197.8837890625;8197.8837890625;
10.01.2015 10:00;8558.2001953125;8558.2001953125;
10.01.2015 11:00;8722.1337890625;8722.1337890625;
10.01.2015 12:00;8579.4501953125;8579.4501953125;
10.01.2015 13:00;8421;8421;
10.01.2015 14:00;8292.6162109375;8292.6162109375;
10.01.2015 15:00;8322.5498046875;8279.25;
10.01.2015 16:00;8480.099609375;8477.5166015625;
10.01.2015 17:00;8452.7666015625;8452.7666015625;
10.01.2015 18:00;8342.1162109375;8342.1162109375;
10.01.2015 19:00;8142.86669921875;8142.86669921875;
10.01.2015 20:00;7879.0498046875;7879.0498046875;
10.01.2015 21:00;7433.13330078125;7433.13330078125;
10.01.2015 22:00;7108.7001953125;7108.7001953125;
10.01.2015 23:00;6916.966796875;6916.7001953125;
11.01.2015 00:00;6997.14990234375;6663.0166015625;
11.01.2015 01:00;7146.2001953125;6578.5166015625;
11.01.2015 02:00;7167.5498046875;6641.81689453125;
11.01.2015 03:00;7056.41650390625;6593.36669921875;
11.01.2015 04:00;6865.63330078125;6569.5498046875;
11.01.2015 05:00;7085.5;6562.85009765625;
11.01.2015 06:00;7422.66650390625;6804.5;
11.01.2015 07:00;7435.33349609375;7063.7666015625;
11.01.2015 08:00;7419.86669921875;7380.60009765625;
11.01.2015 09:00;7945.16650390625;7945.16650390625;
11.01.2015 10:00;8427.900390625;8427.900390625;
11.01.2015 11:00;8562.0166015625;8562.0166015625;
11.01.2015 12:00;8506.466796875;8506.466796875;
11.01.2015 13:00;8470.0166015625;8470.0166015625;
11.01.2015 14:00;8454.75;8454.75;
11.01.2015 15:00;8475.6162109375;8475.6162109375;
11.01.2015 16:00;8556.533203125;8556.533203125;
11.01.2015 17:00;8717.9501953125;8717.9501953125;
11.01.2015 18:00;8733.4501953125;8733.43359375;
11.01.2015 19:00;8671.3662109375;8671.3662109375;
11.01.2015 20:00;8504.033203125;8504.033203125;
11.01.2015 21:00;8120;8120;
11.01.2015 22:00;7971.58349609375;7862.716796875;
11.01.2015 23:00;7978.9833984375;7568.033203125;
12.01.2015 00:00;8140.7333984375;7474.16650390625;
12.01.2015 01:00;8201.966796875;7598.93310546875;
12.01.2015 02:00;8261.400390625;7525.41650390625;
12.01.2015 03:00;8141.9501953125;7408.64990234375;
12.01.2015 04:00;7738;7479.5166015625;
12.01.2015 05:00;8120.966796875;8007.43310546875;
12.01.2015 06:00;9229.2333984375;9229.2333984375;
12.01.2015 07:00;9870.900390625;9870.900390625;
12.01.2015 08:00;9996.3837890625;9996.3837890625;
12.01.2015 09:00;10184.5830078125;10184.5830078125;
12.01.2015 10:00;10148.7998046875;10148.7998046875;
12.01.2015 11:00;10124.650390625;10124.650390625;
12.01.2015 12:00;10253.849609375;10253.849609375;
12.01.2015 13:00;10291.2333984375;10291.2333984375;
12.01.2015 14:00;10206.2998046875;10206.2998046875;
12.01.2015 15:00;10250.349609375;10250.349609375;
12.01.2015 16:00;10184.2333984375;10184.2333984375;
12.01.2015 17:00;10256.1162109375;10256.1162109375;
12.01.2015 18:00;10043.650390625;10041.716796875;
12.01.2015 19:00;9951.9169921875;9951.9169921875;
12.01.2015 20:00;9610.3662109375;9610.3662109375;
12.01.2015 21:00;8984.18359375;8984.18359375;
12.01.2015 22:00;8435.900390625;8435.75;
12.01.2015 23:00;8291.7333984375;7982.2998046875;
13.01.2015 00:00;8392.966796875;7768.25;
