Data version;From;To;Agregation function;Agregation;
real data;01.01.2020 00:00:00;31.12.2020 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2020 00:00;476.4798583984375;-30;-793.35650634765625;-984.5999755859375;-810.63946533203125;-523.5999755859375;-1073.7335205078125;-276;52.907821655273438;-265.20001220703125;-2148.341796875;-2079.39990234375;
01.01.2020 01:00;669.59222412109375;-30;-650.1444091796875;-630.79998779296875;-860.8616943359375;-413.29998779296875;-1104.0908203125;-513;-66.453895568847656;-382.70001220703125;-2011.9586181640625;-1969.7999267578125;
01.01.2020 02:00;744.25164794921875;-14.899999618530273;-405.38616943359375;-576.0999755859375;-769.63287353515625;-512.70001220703125;-1188.2601318359375;-505;-313.98214721679688;-188.5;-1933.009765625;-1797.2000732421875;
01.01.2020 03:00;801.80950927734375;72.5999984741211;-336.46023559570312;-2.5;-728.31646728515625;-467.9000244140625;-861.73040771484375;-431;-115.56007385253906;-268.79998779296875;-1240.2576904296875;-1097.60009765625;
01.01.2020 04:00;815.392822265625;171;-503.15444946289062;-487.89999389648438;-842.0947265625;-441.0999755859375;-713.333740234375;-214;25.454601287841797;-211.29998779296875;-1217.7354736328125;-1183.3001708984375;
01.01.2020 05:00;815.496826171875;45;-318.77011108398438;-23.29998779296875;-822.82745361328125;-358.10000610351562;-717.14178466796875;-331;22.519857406616211;-389.70001220703125;-1020.72265625;-1057.099853515625;
01.01.2020 06:00;750.0010986328125;45.700000762939453;-277.81719970703125;7.9000244140625;-922.29510498046875;-344.9000244140625;-786.57177734375;-289;133.04470825195313;-530.9000244140625;-1103.63818359375;-1111.199951171875;
01.01.2020 07:00;810.17974853515625;60.799999237060547;-171.30140686035156;531.4000244140625;-1015.5781860351563;-242.59999084472656;-841.668212890625;-566;160.61126708984375;-739.29998779296875;-1057.7567138671875;-955.6998291015625;
01.01.2020 08:00;775.69097900390625;47;-115.97110748291016;288.9000244140625;-1035.217529296875;-502.20001220703125;-882.91094970703125;-418;175.00657653808594;-472.20001220703125;-1083.402099609375;-1056.4998779296875;
01.01.2020 09:00;646.45159912109375;-14.300000190734863;-256.32736206054688;-220.20001220703125;-1197.591796875;-632.0999755859375;-976.22607421875;-466;3.7743110656738281;-452.5;-1779.9193115234375;-1785.099853515625;
01.01.2020 10:00;495.56658935546875;-40.400001525878906;-241.48310852050781;-339.29998779296875;-1136.0631103515625;-626.70001220703125;-826.7977294921875;-384;9.0300865173339844;-281.9000244140625;-1699.7471923828125;-1672.300048828125;
01.01.2020 11:00;436.1875;-120;-303.3133544921875;-363.60000610351562;-1127.5146484375;-703.5;-840.77337646484375;-295;-3.9095227718353271;-337.4000244140625;-1839.323486328125;-1819.4998779296875;
01.01.2020 12:00;259.8902587890625;-190;-355.0926513671875;-390.89999389648438;-1057.0797119140625;-595.20001220703125;-760.903076171875;-248;119.51228332519531;-364.9000244140625;-1793.6728515625;-1789.0001220703125;
01.01.2020 13:00;254.58847045898438;-255.69999694824219;-376.09222412109375;-124;-1004.8118286132813;-665.4000244140625;-575.140380859375;-151;239.50267028808594;-184.0999755859375;-1461.9532470703125;-1380.2001953125;
01.01.2020 14:00;306.63864135742188;-230.19999694824219;-504.95962524414062;-486;-999.2275390625;-382;-445.62271118164062;-23;370.8787841796875;82.899993896484375;-1272.29248046875;-1038.300048828125;
01.01.2020 15:00;227.03402709960938;-320;-577.67132568359375;-428.60000610351562;-928.41180419921875;-230.20001220703125;-246.60417175292969;308;538.78338623046875;-108;-986.86993408203125;-778.7998046875;
01.01.2020 16:00;356.19723510742188;-360;-930.224365234375;-894.79998779296875;-1092.9315185546875;-157.5;-235.21559143066406;276;703.51214599609375;-78.70001220703125;-1198.662109375;-1215;
01.01.2020 17:00;735.83648681640625;72;-1035.359130859375;-1050.9000244140625;-1307.1195068359375;-230.5;-524.94732666015625;326;708.65997314453125;-575.4000244140625;-1422.9295654296875;-1458.800048828125;
01.01.2020 18:00;738.96978759765625;-33;-1158.9412841796875;-1193.9000244140625;-1623.79345703125;-534.20001220703125;-763.1656494140625;473;700.59814453125;-799.199951171875;-2106.33251953125;-2087.300048828125;
01.01.2020 19:00;776.07391357421875;-40;-1213.7713623046875;-1251.300048828125;-1663.827392578125;-536.70001220703125;-848.291748046875;422;657.78607177734375;-955.699951171875;-2292.030517578125;-2361.699951171875;
01.01.2020 20:00;680.53631591796875;-155;-1190.892333984375;-1097.800048828125;-1624.9166259765625;-666.9000244140625;-810.69451904296875;219;654.9417724609375;-707.800048828125;-2291.025390625;-2408.500244140625;
01.01.2020 21:00;591.9779052734375;-286.39999389648438;-1130.320556640625;-897.9000244140625;-1661.23095703125;-700;-828.99462890625;172;557.91607666015625;-664.0999755859375;-2470.652099609375;-2376.39990234375;
01.01.2020 22:00;717.14422607421875;-135;-919.33917236328125;-520.79998779296875;-1555.025390625;-752.79998779296875;-856.3238525390625;15;550.32794189453125;-551.89996337890625;-2063.216064453125;-1945.5;
01.01.2020 23:00;837.19598388671875;-22.899999618530273;-791.85211181640625;-365.5;-1526.28955078125;-676.0999755859375;-838.59844970703125;-215;569.503662109375;-401.5999755859375;-1750.0404052734375;-1681.10009765625;
02.01.2020 00:00;1186.09521484375;443;-812.52618408203125;-829.4000244140625;-1565.234375;-445;-821.08599853515625;-138;447.96356201171875;-651.199951171875;-1564.787841796875;-1620.599853515625;
02.01.2020 01:00;1385.6336669921875;443;-652.86688232421875;-390.10000610351562;-1384.2481689453125;-290.79998779296875;-511.84060668945312;51;591.9931640625;-348.5999755859375;-571.3287353515625;-535.5;
02.01.2020 02:00;1430.9366455078125;443;-772.345458984375;-491.20001220703125;-1471.4749755859375;-285;-338.4652099609375;315;739.867919921875;-376.29998779296875;-411.48104858398438;-394.5;
02.01.2020 03:00;1370.8890380859375;418;-948.372314453125;-765.0999755859375;-1536.672119140625;-148;-215.93537902832031;386;787.69671630859375;-410.29998779296875;-542.39398193359375;-519.39990234375;
02.01.2020 04:00;1203.123779296875;340;-958.27520751953125;-729.199951171875;-1429.1966552734375;-24.600006103515625;-82.992172241210938;394;805.452392578125;-390.79998779296875;-461.88803100585938;-410.60009765625;
02.01.2020 05:00;973.92230224609375;14;-1176.7061767578125;-1232.9000244140625;-1363.0587158203125;-40;222.56124877929688;752;1322.4281005859375;554.20001220703125;-20.853275299072266;47.300048828125;
02.01.2020 06:00;799.75506591796875;-32.799999237060547;-1371.44482421875;-1321.699951171875;-1543.2843017578125;-313.10000610351562;133.75164794921875;880;1344.1339111328125;227.5;-637.0885009765625;-560.099853515625;
02.01.2020 07:00;1085.7393798828125;107;-1466.84033203125;-1264.4000244140625;-1697.912841796875;-288.60000610351562;-15.282390594482422;575;1384.445556640625;177.79998779296875;-709.8505859375;-693.199951171875;
02.01.2020 08:00;1001.1734619140625;-0;-1488.7890625;-1329.5999755859375;-1582.9669189453125;-76.5;-42.160247802734375;630;1315.207275390625;-66.899993896484375;-797.53546142578125;-843.0001220703125;
02.01.2020 09:00;743.99713134765625;-10;-1600.7449951171875;-1390.699951171875;-1526.8807373046875;316;-25.28680419921875;450;1163.2952880859375;-540.0999755859375;-1245.6202392578125;-1174.7998046875;
02.01.2020 10:00;426.22335815429688;-99;-1551.3419189453125;-1413.0999755859375;-1372.0599365234375;265;126.37247467041016;750;1156.4525146484375;-698.70001220703125;-1214.353515625;-1195.800048828125;
02.01.2020 11:00;179.78048706054688;-149;-1663.0067138671875;-1569.5999755859375;-1406.7598876953125;265;122.166748046875;800;1136.47021484375;-989.9000244140625;-1631.3492431640625;-1643.5;
02.01.2020 12:00;143.86917114257813;-190;-1684.1358642578125;-1732;-1337.1961669921875;323;193.21392822265625;795;1121.064697265625;-774.4000244140625;-1563.184326171875;-1578.39990234375;
02.01.2020 13:00;-40.235889434814453;-329.60000610351562;-1705.9698486328125;-1552.800048828125;-1378.386962890625;510;145.4071044921875;800;1070.4736328125;-1238.9000244140625;-1908.7119140625;-1811.3001708984375;
02.01.2020 14:00;108.80284881591797;-135;-1687.02880859375;-1693.800048828125;-1253.2130126953125;435;323.76058959960938;900;1144.363037109375;-693.4000244140625;-1363.3153076171875;-1187.2001953125;
02.01.2020 15:00;355.27459716796875;-125;-1608.15625;-1780.800048828125;-1182.2362060546875;635;357.38037109375;800;1158.5977783203125;-400.5999755859375;-919.1396484375;-871.39990234375;
02.01.2020 16:00;477.45016479492188;153;-1640.3448486328125;-1343.0999755859375;-1358.0377197265625;745;192.69300842285156;400;1125.189453125;-1180.699951171875;-1203.0498046875;-1225.7998046875;
02.01.2020 17:00;521.6759033203125;125;-1548.470703125;-1373.5;-1376.9620361328125;745;-7.2678017616271973;350;1208.9715576171875;-1017.199951171875;-1202.0531005859375;-1170.699951171875;
02.01.2020 18:00;617.27734375;-54;-1520.944091796875;-1295.5;-1393.6314697265625;589.70001220703125;-94.215240478515625;500;1361.03271484375;-755.0999755859375;-1030.480712890625;-1014.89990234375;
