Date and time [UTC],Price [EUR/MWh],Price [CZK/MWh
2014-12-31 23:00:00+00:00,26.48,734.158
2015-01-01 00:00:00+00:00,24.2,670.945
2015-01-01 01:00:00+00:00,22.06,611.614
2015-01-01 02:00:00+00:00,20.27,561.986
2015-01-01 03:00:00+00:00,19.17,531.488
2015-01-01 04:00:00+00:00,17.9,496.278
2015-01-01 05:00:00+00:00,17.29,479.365
2015-01-01 06:00:00+00:00,17.39,482.138
2015-01-01 07:00:00+00:00,15.84,439.164
2015-01-01 08:00:00+00:00,18.55,514.299
2015-01-01 09:00:00+00:00,21.97,609.118
2015-01-01 10:00:00+00:00,23.94,663.737
2015-01-01 11:00:00+00:00,24.87,689.521
2015-01-01 12:00:00+00:00,24.0,665.4
2015-01-01 13:00:00+00:00,23.4,648.765
2015-01-01 14:00:00+00:00,23.3,645.993
2015-01-01 15:00:00+00:00,25.9,718.078
2015-01-01 16:00:00+00:00,30.5,845.613
2015-01-01 17:00:00+00:00,29.17,808.738
2015-01-01 18:00:00+00:00,27.09,751.07
2015-01-01 19:00:00+00:00,22.2,615.495
2015-01-01 20:00:00+00:00,18.0,499.05
2015-01-01 21:00:00+00:00,16.7,463.008
2015-01-01 22:00:00+00:00,10.7,296.657
2015-01-01 23:00:00+00:00,0.01,0.277
2015-01-02 00:00:00+00:00,-0.3,-8.31
2015-01-02 01:00:00+00:00,-3.5,-96.95
2015-01-02 02:00:00+00:00,-4.2,-116.34
2015-01-02 03:00:00+00:00,-3.26,-90.302
2015-01-02 04:00:00+00:00,-0.2,-5.54
2015-01-02 05:00:00+00:00,1.8,49.86
2015-01-02 06:00:00+00:00,8.7,240.99
2015-01-02 07:00:00+00:00,13.15,364.255
2015-01-02 08:00:00+00:00,17.2,476.44
2015-01-02 09:00:00+00:00,19.0,526.3
2015-01-02 10:00:00+00:00,19.15,530.455
2015-01-02 11:00:00+00:00,20.0,554.0
2015-01-02 12:00:00+00:00,20.0,554.0
2015-01-02 13:00:00+00:00,20.5,567.85
2015-01-02 14:00:00+00:00,20.5,567.85
2015-01-02 15:00:00+00:00,23.0,637.1
2015-01-02 16:00:00+00:00,26.0,720.2
2015-01-02 17:00:00+00:00,25.5,706.35
2015-01-02 18:00:00+00:00,23.0,637.1
2015-01-02 19:00:00+00:00,17.2,476.44
2015-01-02 20:00:00+00:00,14.0,387.8
2015-01-02 21:00:00+00:00,11.65,322.705
2015-01-02 22:00:00+00:00,5.0,138.5
2015-01-02 23:00:00+00:00,0.59,16.343
2015-01-03 00:00:00+00:00,-0.7,-19.39
2015-01-03 01:00:00+00:00,-2.0,-55.4
2015-01-03 02:00:00+00:00,-1.06,-29.362
2015-01-03 03:00:00+00:00,0.25,6.925
2015-01-03 04:00:00+00:00,0.99,27.423
2015-01-03 05:00:00+00:00,5.26,145.702
